
群友定制,#genre#
ArirangTV HD,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
Sbt,http://208.115.225.174:14176
Premiere,http://208.115.225.174:14460
AOVIVO,http://208.115.225.174:14259
BDMG,http://208.115.225.174:14263
HBO,http://208.115.225.174:14136
Show FE,http://208.115.225.174:14428
ESPN 4,http://208.115.225.174:14510
HBO 2,http://208.115.225.174:14140
Animal Planet,http://208.115.225.174:14192
HBO X,http://208.115.225.174:14165
WB TV,http://208.115.225.174:14132
HBO Mundi,http://208.115.225.174:14148
AOVIVO,http://208.115.225.174:14271
Premiere,http://208.115.225.174:14468
HBO signature,http://208.115.225.174:14160
新加坡国际,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
有线财经资讯台,http://2022.stream-link.org/playlist/cable_finance.ts
VIU TV,http://baidu.douyincdn.freetvtv.com/vius/m2.m3u8
八度空间,http://2022.stream-link.org/playlist/8tv.ts
寰宇新闻台,http://2023.stream-link.org/playlist/global_tw.flv
澳门莲花卫视,http://2022.stream-link.org/playlist/macau_lotustv.ts
华视综艺,http://2023.stream-link.org/playlist/cts_zy.flv
寰宇新闻台,http://2023.stream-link.org/playlist/global_news.flv
华视新闻,http://2023.stream-link.org/playlist/cts_news.flv
东森yoyo,http://2023.stream-link.org/playlist/ebc_yoyo.flv
印尼-TVRIKanal3,http://wpc.d1627.nucdn.net/80D1627/o-tvri/Content/HLS/Live/Channel(TVRI3)/Stream(03)/index.m3u8
Astrakhan24(Opt-2),http://streaming.astrakhan.ru/astrakhan24/index.m3u8
Nostalgia,http://51.210.199.20/hls/stream.m3u8
Iranian,http://51.210.199.22/hls/stream.m3u8
有线新闻台,http://2022.stream-link.org/playlist/cable_news.ts
华视,http://2023.stream-link.org/playlist/cts.flv
Documentary,http://51.210.199.23/hls/stream.m3u8
韩国-Arirang,http://amdlive-ch03.ctnd.com.edgesuite.net/arirang_3ch/smil:arirang_3ch.smil/chunklist_b1728000_sleng.m3u8
Comedy,http://51.210.199.27/hls/stream.m3u8
中天综合台,http://2023.stream-link.org/playlist/cti_zh.flv
Family,http://51.210.199.19/hls/stream.m3u8
半岛新闻,http://live-hls-web-aje.getaj.net/AJE/01.m3u8
Music,http://51.210.199.24/hls/stream.m3u8
时尚台FTV,http://80.94.54.42/fashiontv/stream/playlist.m3u8
TVBS新闻台,http://38.64.72.148/hls/modn/list/4006/chunklist0.m3u8
民视,http://2023.stream-link.org/playlist/ftv.flv
伊朗-PBCTapeshTV,http://iptv.tapesh.tv/tapesh/playlist.m3u8
TVB华丽台,http://r.jdshipin.com/thuYX
三立iNews,http://2023.stream-link.org/playlist/set_inews.flv
TVBS新闻台,http://2023.stream-link.org/playlist/tvbs_news.flv
民视新闻台,http://2023.stream-link.org/playlist/ftv_news.flv
台视新闻台,http://2023.stream-link.org/playlist/ttv_news.flv
中视新闻,http://2023.stream-link.org/playlist/ctv_news.flv
FashionTV,http://lb.streaming.sk/fashiontv/stream/chunklist_w1702070444.m3u8
东森财经新闻,http://2023.stream-link.org/playlist/ebc_finance.flv
华语电视,http://38.64.72.148:80/hls/modn/list/4003/chunklist0.m3u8
中天新闻台,http://2023.stream-link.org/playlist/cti_news.flv
东森新闻台,http://2023.stream-link.org/playlist/ebc_news.flv
Show FE,http://208.115.225.174:14420
印尼-TVRISports,http://wpc.d1627.nucdn.net/80D1627/o-tvri/Content/HLS/Live/Channel(TVRI4)/Stream(03)/index.m3u8
翡翠台,https://cdn.hklive.tv/xxxx/81/index.m3u8
海豚綜合,http://58.99.33.16:1935/liveedge17/live_077_3.stream/chunklist.m3u8
智林体育,http://58.99.33.16:1935/liveedge17/live_122_3.stream/chunklist.m3u8
日本购物1,http://stream1.shopch.jp/HLS/out1/prog_index.m3u8
TVBS,http://2023.stream-link.org/playlist/tvbs.flv
越南-VBSTV,http://uni6rtmp.tulix.tv:1935/vbstv/vbsabr.smil/playlist.m3u8
ABC新闻,http://cms-wowza.lunabyte.io/wbrz-live-1/_definst_/smil:wbrz-live.smil/chunklist_b1300000.m3u8
三立Live新闻+,http://2023.stream-link.org/playlist/set_news+.flv
FOX News Now,https://fox-foxnewsnow-samsungus.amagi.tv/playlist.m3u8
三立Live,http://2023.stream-link.org/playlist/set_news.flv
NewsmaxTV,http://nmxlive.akamaized.net/hls/live/529965/Live_1/index.m3u8
CTN,http://58.99.33.16:1935/liveedge17/live_853_3.stream/chunklist.m3u8
澳门莲花,https://p.ggiptv.com/v/macaulotustv.php
台视,http://2023.stream-link.org/playlist/ttv.flv
Inwonder,https://inwonder-samsung-canada.amagi.tv/playlist.m3u8
澳门莲花,http://107.151.203.111:2209/135/hk.php?id=amlh
韩国-Arirang,http://amdlive-ch01.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
HBO  Hits,http://baidu.douyincdn.freetvtv.com/hbohits/index.m3u8
Самара,http://live.guberniatv.cdnvideo.ru/guberniatv/guberniatv.sdp/playlist.m3u8
RTHK32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/master.m3u8
日本UN WeTV,https://cdnapi.kaltura.com/p/2503451/sp/250345100/playManifest/entryId/1_gb6tjmle/protocol/https/format/applehttp/a.m3u8
韩国-NBS Korea Agricultural Broadc,https://media.joycorp.co.kr:4443/live/live_720p/playlist.m3u8
CA,https://rcavlive.akamaized.net/hls/live/704025/xcanrdi/master.m3u8
FashionTV,http://lb.streaming.sk/fashiontv/stream/chunklist_w1402273512.m3u8
CNA新闻,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
CTN,http://58.99.33.16:1935/liveedge17/live_854_3.stream/chunklist.m3u8
澳门莲花,http://nettvpro.live/hls/lotustv.php
PBSAmerica,https://pbs-samsunguk.amagi.tv/playlist.m3u8
Sexy K-Pop,https://srv1.zcast.com.br/kpoptv/kpoptv/playlist.m3u8
EdgeSport,https://edgesport-samsunguk.amagi.tv/playlist.m3u8
好消息综合台,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch1-2.m3u8
俄罗斯中文,http://brics.bonus-tv.ru/cdn/brics/chinese/tracks-v1a1/index.m3u8
moviesphere,https://moviesphere-samsung-samsungus.amagi.tv/playlist.m3u8
日本Shop Channel,https://stream3.shopch.jp/HLS/master.m3u8
ComedyChannel,https://uksono1-samsunguk.amagi.tv/playlist.m3u8
ABC Australia HD,https://abc-iview-mediapackagestreams-2.akamaized.net/out/v1/6e1cc6d25ec0480ea099a5399d73bc4b/index.m3u8
中台灣生活網,http://58.99.33.16:1935/liveedge17/live_020_3.stream/chunklist.m3u8
印尼-METROTV,http://edge.metrotvnews.com:1935/live-edge/smil:metro.smil/playlist.m3u8
功夫台,https://cn-hbyc2-dx-live-01.bilivideo.com/live-bvc/545768/live_179302204_68184269.m3u8
france24,http://58.99.33.16:1935/liveedge17/live_156_3.stream/chunklist.m3u8
澳门莲花,http://nettvpro.live/hls/lotustv.php?zgangd
中台灣生活網,http://58.99.33.16:1935/liveedge17/live_852_3.stream/chunklist.m3u8
VIUTV,http://r.jdshipin.com/vSJvl
美国中文电视,https://jpts.sinovision.net/livestream.m3u8
财经体育资讯台,http://r.jdshipin.com/Nr5jq
UniverTV,http://cdn.universmotri.ru/live/hq.sdp/chunklist_w1792531.m3u8
SexyK-Pop,https://srv1.zcast.com.br/kpoptv/kpoptv/.m3u8
ArirangTV HD,https://amdlive-ch01-ctnd-com.akamaized.net/arirang_1ch/smil:arirang_1ch.smil/chunklist_b2256000_sleng.m3u8
国家地理野生,https://sc.id-tv.kz/NatGeoWildHD_34_35.m3u8
InsightTV,https://insighttv-samsung-canada.amagi.tv/playlist.m3u8
AlarabyTV,https://alaraby.cdn.octivid.com/alaraby/smil:alaraby.stream.smil/playlist.m3u8
CanadaOne,http://cdn8.live247stream.com/canadaone/tv/playlist.m3u8
J2,http://r.jdshipin.com/ndGgS
伊拉克-SharqiyaNews,http://ns8.indexforce.com:1935/alsharqiyalive/mystream/playlist.m3u8
CNA新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?zshijd
0321测试,#genre#
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4_tv2.m3u8
凤凰中文,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G_tv1.m3u8
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4_tv2.m3u8?zgangd
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G_tv1.m3u8
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G_tv2.m3u8
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4_tv1.m3u8
凤凰中文,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G_tv2.m3u8
大爱2,http://pulltv1.wanfudaluye.com/live/tv2.m3u8
好莱坞电影,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8?blog.ntnas.top
东森电影,http://120.84.96.89:808/hls/32/index.m3u8
东森洋片,http://120.84.96.89:808/hls/33/index.m3u8
东森电影,http://120.84.96.113:808/hls/32/index.m3u8
大爱1,http://pulltv1.wanfudaluye.com/live/tv1.m3u8
TVB翡翠,http://jylt.jdshipin.com:808/hls/25/index.m3u8
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4_tv1.m3u8?zgangd
凤凰资讯,https://playtv-live.ifeng.com/live/06OLEEWQKN4_tv2.m3u8?zgangd
点掌财经,http://cclive2.aniu.tv/live/anzb.m3u8
星爷经典,http://hpull.kktv8.com/livekktv/99592190/playlist.m3u8
采昌，http://336699.live:1935/blockfour/4gtv-4gtv049.stream/chunklist_w27628783.m3u8\http://www.336699.live:1935/blockfour/4gtv-4gtv049.stream/playlist.m3u8\TVB财经资讯,http://jylt.jdshipin.com:808/hls/86/index.m3u8
凤凰中文,https://playtv-live.ifeng.com/live/06OLEGEGM4G_tv1.m3u8
凤凰资讯,https://playtv-live.ifeng.com/live/06OLEEWQKN4_tv1.m3u8
凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4_tv1.m3u8
TVB财经台,https://p2.weizan.cn:443/1646497941/269664979080385265/live.m3u8?$1M1280x720
翡翠财经,http://p2.weizan.cn/1646497941/269664979080385265/live.m3u8
东森电影,http://120.84.96.108:808/hls/32/index.m3u8
凤凰中文,https://playtv-live.ifeng.com/live/06OLEGEGM4G_tv2.m3u8
CGTN阿拉伯语,http://livear.cgtn.com/1000a/prog_index.m3u8?zshijd
星空卫视,http://120.84.96.113:808/hls/79/index.m3u8
金马影院[1280*720][1280*720][1280*720][1280*720],http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4_tv2.m3u8?zgangd
点掌财经,http://cclive2.aniu.tv/live/anzb.m3u8?zgangd
CGTN拉丁美洲,http://livees.cgtn.com/1000e/prog_index.m3u8?zshijd
中國環球電視,http://live.cgtn.com/500/prog_index.m3u8
香港衛視文旅,https://myun-hw-s3.myun.tv/melj80jz/lxx27bol/1551285536499984128.m3u8
CNC英文,http://source07.v.news.cn/live/CNC_EN/playlist.m3u8?zshijd
財經體育資訊台,https://p2.weizan.cn:443/1646497941/269664979080385265/live.m3u8
CGTN Русский,http://liveru.cgtn.com/1000r/prog_index.m3u8?zshijd
CETV-2,http://txycetvbl.centv.cn/cetv2/2020tsytk.m3u8
凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4_tv2.m3u8
CETV-3,http://txycetvbl.centv.cn/cetv3/bjdm.m3u8
J2,https://p2.weizan.cn/1646497941/269664979080385265/live.m3u8
点掌财经,http://cclive.aniu.tv/live/anzb.m3u8
TVB星河,http://fyld.eatuo.com:9901/tsfile/live/1006_1.m3u8
东森洋片台,http://jylt.jdshipin.com:808/hls/33/index.m3u8
新华英语,http://source07.v.news.cn/live/CNC_EN/playlist.m3u8
探索发现,http://hls.cntv.kcdnvip.com/asp/hls/1200/0303000a/3/default/25137bd7c4494128bf0cba271974928f/1200.m3u8
香港佛陀,http://js1.amtb.cn/liveedge/_definst_/livetv/chunklist.m3u8#
時裝頻道,http://jc-qlive-play.jingchangkan.cn/live/3473_171322168_W9MX.m3u8
Style,http://www.336699.live:1935/blocksix/4gtv-live122.stream/chunklist.m3u8
凤凰中文,http://play-live.ifeng.com/live/06OLEGEGM4G.m3u8
CETV-1,http://txycetvbl.centv.cn/cetv1/ypd.m3u8
龙祥电影,http://jylt.jdshipin.com:808/hls/35/index.m3u8
凤凰资讯,http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8?wowzasessionid=64000
大爱,http://pulltv2.wanfudaluye.com/live/tv2.m3u8
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8?
星空卫视,http://jylt.jdshipin.com:808/hls/79/index.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-mobile/playlist.m3u8
凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4.m3u8?zgangd
凤凰中文[1920*1080],https://play-live.ifeng.com/live/06OLEGEGM4G.m3u8?blog.ntnas.top
香港佛陀,http://js1.amtb.cn/liveedge/_definst_/livetv/chunklist.m3u8
凤凰香港,https://play-live.ifeng.com/live/06OLEGEGM4G.m3u8
CGTN美国,http://live.cgtn.com/1000/prog_index.m3u8?zshijd
CETV-4,http://txycetvbl.centv.cn/cetv4/zjpd.m3u8
足球频道,https://nmglive.imfc.cn/5n1r1c/182396.m3u8
CGTN法语,https://livefr.cgtn.com/1000f/prog_index.m3u8?zshijd
大愛1 (720p),https://pulltv1.wanfudaluye.com/live/tv1.m3u8
澳門賽馬會,https://live.mastvnet.com/lsdream/zT65oep/1500/live.m3u8
大爱二,https://pulltv1.wanfudaluye.com/live/tv2.m3u8
东森购物2,http://www.336699.live:1935/blocksix/4gtv-live047.stream/chunklist.m3u8
CGTN西语,https://livees.cgtn.com/1000e/prog_index.m3u8?zshijd
CNC中文,http://39.135.138.59:18890/PLTV/88888910/224/3221225694/index.m3u8
CHC动作电影,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240324_1/playlist.m3u8?CONTENTID=00000110240324_1
耀才財經台,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
大愛2 (720p),https://pulltv2.wanfudaluye.com/live/tv2.m3u8
CGTN(Opt_1),http://live.cgtn.com/500/prog_index.m3u8?zshijd
TVB明珠,http://jylt.jdshipin.com:808/hls/26/index.m3u8
澳門衛視,https://live.mastvnet.com/lsdream/MSTV/1500/live.m3u8
TVB功夫,http://cn-hbyc2-dx-live-01.bilivideo.com/live-bvc/545768/live_179302204_68184269.m3u8
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8
东森洋片,http://107.151.203.111:2209/135/hk.php?id=dsypt
凤凰中文,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G.m3u8
CHC家庭影院,http://live.cooltv.top/tv/aishang.php?id=chcjtyy
东森电影,http://jylt.jdshipin.com:808/hls/32/index.m3u8
CGTN Documentary,https://livedoc.cgtn.com/500d/prog_index.m3u8?zshijd
中天综合台,http://pull-l3-cny.douyincdn.com/third/stream-5f26752efeee9e0c53cf6b530640ce60.flv
